companyname,industry,tagline,description,city,zipcode,address,tel,fax,url,mail,president,contact,establishment,year_capital,n_employees,message,srcurl,amount_sales,main_client,start_business,office,branch,shop,start_branch,headoffice,oversea_branch,tel2,fax2
ウラセ株式会社,繊維,ポリエステル繊維のフォーマルブラック染色加工で国内シェアN o . 1,各種繊維素材の染色、機能加工（衣料、インテリア、産業資材、スポーツ資材）各種繊維製品の企画、販売衣料、インテリア用繊維素材の加工技術開発産業資材の高機能加工技術、用途開発,鯖江市,916-8550,鯖江市神中町2-7-40,0778-54-8000,0778-54-8040,http://www.urase.co.jp,info@urase.co.jp,代表取締役社長 松田 徹,常務取締役開発本部長 米澤 弘修,1970年12月,"3億6,000万円",226名,糸染会社として創業し、染色の中でも特に婦人衣料を中心に、業界ナンバーワンの技術力を持っています。日本から繊維産業が減少する中、多くの「匠の技術」は未だ我社に健在です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/022.html,75億,帝人グループ各社、クラレグループ各社、ユニチカグループ各社、蝶理㈱ 他,1918年,,,,,,,,
株式会社エイチアンドエフ,機械・金属,F U K U I から、世界へ圧倒的スケールのモノづくり,自動車業界向け大型プレス機械およびFAシステム製品（自動化装置）の開発・設計、製造、販売、アフターサービス,あわら市,919-0695,あわら市自由ケ丘1-8-28,0776-73-1220（代）,0776-73-3055,https://www.h-f.co.jp,info-general@h-f.co.jp,取締役社長 山田 烈史,総務・企画部長 河崎　透,1964年8月,"10億5,500万円",420名（2022年3月末現在）,福井県で50年以上モノづくりを進めてきた技術力とチャレンジ精神をベースに、新たな製品を生み出し続け、スケールの大きなモノづくりを世界に広めています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/090.html,145億円（2022年3月末現在）,自動車メーカー各社、自動車部品メーカー各社、プレス金型メーカー各社 等,,,〒919-0723 あわら市熊坂130字,,,,,,
永平寺サイジング株式会社,繊維,通気性、体圧分散機能に優れた、軽量のクッション材を開発,合繊製品の製造、販売（原糸生産、撚糸、整経、織布、仕上げ、縫製を行う一貫製造）,永平寺町,910-1212,吉田郡永平寺町東古市2-22,0776-63-2203,0776-63-7025,http://www.eiheiji-sizing.co.jp,info@eiheiji-sizing.co.jp,代表取締役 河合 国昭,同　上,1963年5月,"7,000万円",25名,21世紀は繊維の時代と考えています。開発技術によって、豊かな時代に繊維が活躍する時がやってくると信じています。イノベーションによって生まれた当社の繊維素材は、多くのユーザーに安心と安全、健康と癒しを提供できるものと確信しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/023.html,,,,,,,,,,,
株式会社エコ・プランナー,機械・金属,環境分野を得意とする建設コンサルタント,環境、公園、光修景、克雪、利雪、上下水道施設、新エネルギーなどの調査、企画、設計、施工管理・環境教育、コンピュータソフト開発など・オゾン水処理システムの開発、設計・工場廃水処理（水性塗料、クーラント他）・ライニング地中熱冷暖房システム開発（NEDO）,福井市,918-8026,福井市渕2-1811,0776-33-2166,0776-33-2168,http://www.eco-planner.co.jp,charrette@eco-planner.co.jp,代表取締役 安本 悟司,磯野 泰子,1998年4月,"1,000万円",9名,当社は、融雪、水道施設および公園緑地設計などの環境分野を得意とする建設コンサルタントです。近年は、再生可能エネルギーであり、CO2も削減できる廉価な地中熱冷暖房システムの開発や、高濃度オゾン水処理装置にも力を入れています。これからも生活を快適に、環境負荷が少なくなるような技術を提案していきたいと思います。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/091.html,,官公庁、建設コンサルタント他,,,,,,,,,
株式会社エツミ光学,化学,主要メーカーの携帯電話部品へコーティングする真空蒸着技術,各種工業部品への真空蒸着・光学レンズ への真空蒸着・サングラス用レンズの加 工・サングラス組み立て・マーキング （レーザー・印刷）,大野市,912-0437,大野市中据32-10-7,0779-66-2434,0779-66-4287,https://etsumi-opt.co.jp/,motomoto@etsumi-opt.co.jp,代表取締役社長 小林 和宏,技術営業取締役 柳原 雅夫,1973年7月,"3,000万円",180名,眼鏡レンズから始まった当社は現在、金属やプラスチック、布など他素材とコラボレーションすることで新たな素質が現れてきています。「独創企業エツミ光学」をモットーに、高度な技術、開発力を追及し、お客様の満足向上に努めます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/054.html,18億400万円,ナカニシオプティカル㈱、㈱乾レンズ 他,,,,,,,,,
株式会社エヌエム,伝統工芸・その他,自動車、船舶、建築物などに採用環境に優しい最先端ナノテクコート,特殊高圧洗浄コーティング機の開発、販売バリアクリスタル専用特殊セラミック、洗浄液およびコーティング補助液の開発、販売,福井市,918-8238,福井市和田2丁目2013番地,0776-24-3428,0776-24-3150,http://www.watercoat.co.jp,webmaster1@watercoat.co.jp,代表取締役社長 松井 正己,専務取締役 高橋 重喜,1990年10月,"9,200万円",10名,バリアクリスタルは、弱アルカリイオン水をベースに洗浄・コーティングを行うもので、作業中・作業後も安全で環境に優しいシステムとして、これからの時代に相応しい環境商材です。今後、積極的にアピールしていきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/164.html,,,,,,本格カーケア専門店 バリアクリスタル福井TEL：0120-24-3421URL：http://b-crystal.jp,,,,,
株式会社NCC,化学,世界初のイオンプレーティング加工技術で国内シェアＮ ｏ ． １,表面処理業（イオンプレーティング加工による真空メッキ処理）,鯖江市,916-1105,鯖江市吉谷町2-97,0778-52-9077,0778-52-9078,https://www.ncc-japan.com,,代表取締役 安田 憲生,経営戦略室 北出 正章,2005年2月,"1,500万円",14名,イオンプレーティング処理はNASAの技術からスタートした無公害の真空メッキ技術です。環境に優しい技術を通して、地球のエコ活動にも貢献してまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/055.html,"1億8,000万円",京都機械工具㈱（KTC）、三菱鉛筆㈱、カイインダストリーズ㈱、㈱モリタ製作所、㈱内山溶接工業、上原ネームプレート工業㈱ 他,,,,,,,,,
株式会社エムエーツール,機械・金属,超硬ソリッドメタルソーの国内最小刃厚2 0 μ を実現,切削工具の製造、販売超硬ソリッドメタルソー・超硬スリッターナイフ・超硬セラミックスペーサー・超硬キーシードカッター,福井市,918-8188,福井市三尾野町1-1-18,0776-33-7580,0776-33-7270,http://www.matool.jp,info@matool.jp,代表取締役社長 松本 博一,営業リーダー 松本 勝也,1987年4月,"2,000万円",20名,高精度、高速加工が可能な超硬ソリッドメタルソーの製造が得意で、ユーザーの加工条件を考慮したものを制作いたします。特に極薄刃厚最小20μから制作可能です。精密切断加工、溝加工でお困りの方、ぜひ、ご連絡ください。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/092.html,,自動車部品関連各社、パソコン・家電製造関連会社 他,,,,,,,,,
株式会社オーエムエンジニアリング,電気・電子,空冷式焼バメ装置を製造する国内唯一のメーカー,電気精密機器装置の製造、販売・高周波誘導加熱装置の製造設計・各種銀ロウ材 ・インバータ溶接機,鯖江市,916-0022,鯖江市水落町1-14-21,0778-52-4456,0778-51-4446,,,代表取締役 島田 治,同　上,2003年1月,"1,000万円",3名,マシニング装置の品質性能向上のために、金型業界にもコスト、加工精度、短納期の意識が要求され、当社の活躍のフィールドは広がっていると考えます。本技術を応用して、他業界で利用されるよう努力していきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/138.html,1億円,㈱聖和精密工機、㈱大進研究所工業、㈱シル化成 他,,,,,,,,,
株式会社大阪合金工業所,機械・金属,りん銅地金の世界シェア30％国内シェア100％,合中間合金地金の製造、販売（りん銅、りんニッケル、りん鉄、りん錫、けい素銅、マグネシウム銅、マンガン銅、鉄銅、ニッケル銅 など）銅および銅合金鋳造品・加工品の製造、販売（超電導線材用ブロンズ、ＯＭアロイ鋳造品（耐摩耗性銅基合金）など）,福井市,910-3138,福井市白方町45-5-9,0776-85-1811,0776-85-1313,http://www.osakagokin.co.jp,info@osakagokin.co.jp,代表取締役社長 水田 泰成,総務部長 亀谷 政浩,1949年7月,"6,100万円",47名,今後も絶えず生産の合理化を図り、使っていただく方が満足し喜んでいただける良質で多様な銅合金鋳物および非鉄中間合金地金を安定的に提供することに全力を傾けていきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/093.html,"49億7,000万円",㈱神戸製鋼所、古河電気工業㈱、NJT銅管㈱、三菱マテリアル㈱、JX金属㈱ 他,,,,,,,,,
大阪特殊合金株式会社　勝山工場,機械・金属,黒鉛球状化剤などの鋳鉄用添加剤の国内トップメーカー,鋳鉄添加合金事業（球状化剤、接種剤、強度アップ剤などの製造、販売）製鋼添加剤事業（脱ガス剤、ワイヤー添加剤の製造、販売）,勝山市,911-0831,勝山市遅羽町千代田34-2,0779-87-0201,0779-87-0205,https://otg.co.jp,,代表取締役社長 宮脇 成志,総務課 竹内 厚司,1961年5月,3億円,120名（うち勝山工場 80名）,現代社会はまさに日進月歩。目まぐるしいスピードで進化していますが、この文明がある限り、鉄や金属が世の中からなくなることはありません。その中で、今日も私たちは生きていきます。昭和36年に大阪で創業した「大阪特殊合金株式会社」は、鋳鉄用添加剤、鋳鉄用球状化剤・接種剤をつくるメーカーとして、このニッチな業界でいちばん長い歴史を誇ります。創業者である父の代から、長い年月と数々の経験によって培った「メイド・イン・ジャパン」のクオリティ、トップシェアは、どこにも譲れません。合金というと、ロボットのようなものを思い浮かべる人も多いかもしれませんが、みなさんの暮らしを支える私たちの仕事は、直接目には見えません。しかも、そのつくり方は教科書にもない、ネットにさえ答えが載ってないものづくりの世界。自分でトライアンドエラーをくり返して、昨日よりも今日、今日よりも明日、少しずつよいものをつくっています。よりよい日本の未来に向けて、私たちはこれからも、無限の可能性を秘めた「合金」と、真摯に向き合ってまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/094.html,"180億6,500万円",トヨタ自動車㈱、日産自動車㈱、本田技研工業㈱、新日本製鐵㈱、JEFスチール㈱ 他,,,,,1971年10月（勝山工場）,,,,
株式会社オーディオテクニカフクイ,電気・電子,外部に話の内容が漏洩する恐れのない赤外線コードレスマイクロホンの国内シェアNo.1,オーディオテクニカブランド及びOEM先ブランドのマイクロフォン、ヘッドフォン、その他AVアクセサリーの設計開発・製造。OEMビジネスとしてレーザー応用機器の設計開発・製造。,越前市,915-0003,越前市戸谷町87-1,0778-25-6700,0778-25-6702,https://www.audio-technica.fukui.jp,,代表取締役社長 松下 和雄,管理部総務課マネージャー 東 大輔,1970年10月,"5,000万円",196名,歴代オリンピック大会では、千数百本のオーディオテクニカブランドの各種マイクロホンシステムが、競技場のいろんな音を拾うために使用されました。非常に名誉なことだと感じております。これを機として、より一層魅力的な商品の開発に努め、今後ともブランド力を着実に高めていきたいと存じます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/139.html,54億円,㈱オーディオテクニカ 他,,,,,,,,,
小野谷機工株式会社,機械・金属,国内唯一のタイヤサービス機械メーカー,タイヤサービス関連機器製造、販売（タイヤ交換機、ホイールバランサー、リフトジャッキ、エア充填機）廃タイヤ処理関連機械製造、販売（タイヤ切断機、タイヤ破砕システム）,越前市,915-0801,越前市家久町63-1,0778-22-2124,0778-24-5533,https://www.onodani.co.jp,info@onodani.co.jp,代表取締役社長COO 宇田 公郎,販売促進部 部長 杉本 和則,1971年11月,"6,800万円",180名（グループ合計380名）,国内唯一のタイヤサービス機械メーカーとして、ユーザーが求めている理想をカタチにする企画・開発型企業として、高性能で高付加価値のある製品の研究・開発を進めてまいります。また、タイヤ一筋に関した業を行うONODANIグループの総力を結集した事業展開を推し進めてまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/095.html,35億円,各タイヤ販売会社・その他地区販売店,,,,,,,,,
有限会社小畑製紙所,伝統工芸・その他,ホログラム入り和紙を製造できる全国３社の中の１社,製紙業・透かし、ホログラム入り和紙（局紙）・各種鳥の子紙・透かし入り卒業証書,越前市,915-0234,越前市大滝町23-22,0778-43-0338,0778-43-0337,,,代表取締役 小畑 明弘,同　上,1963年7月,380万円,8名,当社の製品は、局紙（有価証券用紙）だけでなく、鳥の子紙、大礼紙でも６色オフセット印刷が可能です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/166.html,,,,,,,,,,,
小浜製綱株式会社,繊維,県内唯一の繊維ロープ総合メーカー,繊維ロープの製造、販売・天然、合成繊維ロープ・繊維製ネット・魚網・繊維製ベルト,小浜市,917-0026,小浜市多田3-10,0770-56-1234,0770-56-1160,http://www.obamarope.co.jp/,info@obamarope.co.jp,代表取締役社長 木下 善裕,同　上,1944年1月,"5,000万円",80名,常識にとらわれない姿勢を大切にしていきたいと考えます。また、これまでの経験で、ものづくりとはメーカーのみが考えるものでなく、ユーザーと一体で作り上げてこそ初めて「役に立つ商品」になるということ知りました。今後もこの姿勢を大切にしていきたいと思います。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/024.html,"19億4,600万円",伊藤忠商事㈱、日祥㈱、防衛省、海上保安庁、国内主要船舶会社 他,,,,,,,,,
オフロム株式会社,電気・電子,赤外線センサで暮らしの安心を支える,セキュリティセンサなどの製造・ 赤外線、レーザーなどを応用した各種検知センサ・アミューズメント関連機器,福井市,910-3608,福井市三留町72-10,0776-98-3800,0776-98-4545,https://www.ofrom.com,ofrom.co.ltd@ofrom.com,代表取締役社長 笈田 寿宏,EMS営業部 石川 真人,1983年5月,"2,000万円",96名,センサにて培った技術を活かし、様々なお客様のEMS戦略をサポートしております。大LOTから小LOT、大型製品から小型製品、生産受託のみから設計/部品手配/製造納品まで幅広くご要望にお応えします。また、グループ工場を利用した海外生産展開にも対応可能です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/140.html,36億円,オプテックス㈱、オプテックスFA㈱、ライブロックテクノロジーズ㈱ 他,,,,,,,,,
カイノス株式会社,機械・金属,ビールや清涼飲料水などのボトリングラインを展開する専門メーカー,飲料・食品用搬送システムの設計、製作、据付（コンベヤ、倒立検瓶機、エアーコンベヤ、リフター（ロワレーター）、分割装置、転倒殺菌装置、汎用クーラー、パレタイザー など）,坂井市,910-0383,坂井市丸岡町長崎1-80-2,0776-67-4100,0776-67-4105,https://www.kinos.co.jp/,inf-eigyo@kinos.co.jp,代表取締役 木下 修一,営業または総務,1963年10月,"3,200万円",85名,製品ハンドリングの技術により、より良く、より信頼のおける、より付加価値の高いコンベヤラインを提供し続けることを念頭に製品づくりに励んでいます。また、専門メーカーとして経験・知識などをお客様のニーズに反映できればと思いますのでトラブル、お困りごとの声もぜひ、お聞かせくださ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/099.html,"23億3,700万円",三菱重工機械システム㈱、三友機器㈱、四国化工機㈱、㈱エヌテック,,,,,,,,,
株式会社カズマ,繊維,「新しいカーテンの形」を提案 ～スマートにファブリックを楽しむ～,・カーテンを中心としたホームファッション商品の企画・製造・販売、およびOEM事業・オリジナル雑貨ブランドの企画・製造・販売・ＤＴＰ（インクジェット）事業・中国での直営店事業,福井市,910-0123,福井市八重巻町105,0776-56-4006,0776-56-4007,https://e-kazuma.jp,h-noguchi@kkkazuma.co.jp,代表取締役社長 数馬 亜季子,塚本 陽加,1984年,"6,300万円",280名,カーテンとはECO商品そのものであり、地域貢献業種でもあります。さらにファッション的要素も高く、まさに時代の最先端産業であります。日中交流での補完関係・二軸連携体制の元、生地生産から小売までのグローバル一貫生産販売を可能としております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/025.html,"60億7,400万円",ニトリ、カーテンじゅうたん王国、カインズ,,,,,,,,,
株式会社金津技研,電気・電子,電子部品の自動組み込み工程を支える,電子部品製造、エンボスキャリアテープの製造、販売製造工程受託、専門技術者派遣,あわら市,919-0812,あわら市柿原45-76-1,0776-73-0898,0776-73-0892,http://www.kanazu-g.com/,office@kanazu-g.com,代表取締役 伊藤 憲治,ET営業課 伊藤 慧,1973年,"3,000万円",180名（グループ全体380名）,当社には、プラスチックテープを高精度で連続成型加工する技術があります。電子部品の用途以外にも応用できそうな製品があれば、是非当社までお問い合わせください。金属加工部品をエンボスキャリアテープに包装し、組立工程の自動化に活用するといった事例があります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/142.html,,各電子部品メーカー,,,,,,,,,
カワイローラ株式会社,機械・金属,Changes forthe Best Qualityキャリヤローラ製造国内シェアトップクラス,コンベヤ部品の設計・製造・販売LED販売・設置,永平寺町,910-1141,吉田郡永平寺町松岡領家11-52,0776-61-3522,0776-61-3523,http://www.kawai-roller.co.jp/,,代表取締役 河合 昭宏,総務部・経理 十佐近 みゆき,1921年9月,"5,500万円",67名,よりよい労働環境を追求し、人材に応じた新たな部門を設けるなど、社員がキャリアアップを目指せる体制を構築しており、実際に未経験から20代で役職に就いた方もいます。新工場も拡張し、今後、技術力・生産力に、より一層のブラッシュアップを図ってまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/096.html,"9億7,000万円",㈱マキテック、ホクショー㈱,,,,,,,,,
株式会社川鋳,機械・金属,国内シェアN o . 1ターボ冷凍機の圧力容器を1 0 0 ％ 供給,産業機械、工作機械の鋳物部品の鋳造,坂井市,919-0483,坂井市春江町石塚28-31,0776-51-1369,0776-51-4696,http://www.kawa-chu.com,info@kawa-chu.com,代表取締役社長 川上 裕之,同　上,1972年4月,"4,000万円",,現在では普通鋳鉄に代わり、強度の高い球状黒鉛鋳鉄が要求されています。当社においては、他社で製造不可能なものを受け入れ、最高の技術をもって、あらゆる角度から球状黒鉛鋳鉄分野の開拓をしていきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/097.html,"5億6,000万円",三菱重工業㈱,,,,,,,,,
